soil_property,dataset,n_mir,n_neospectra,n_visnir
mn.ext_usda.a70_mg.kg,SERBIA.SSL,0,0,0
n.tot_usda.a623_w.pct,AFSIS1.SSL,1902,0,0
n.tot_usda.a623_w.pct,AFSIS2.SSL,151,0,0
n.tot_usda.a623_w.pct,CAF.SSL,1578,0,0
n.tot_usda.a623_w.pct,GARRETT.SSL,184,0,0
n.tot_usda.a623_w.pct,ICRAF.ISRIC,0,0,0
n.tot_usda.a623_w.pct,KSSL.SSL,76594,1976,19806
n.tot_usda.a623_w.pct,LUCAS.SSL,0,0,40175
n.tot_usda.a623_w.pct,LUCAS.WOODWELL.SSL,589,0,589
n.tot_usda.a623_w.pct,OSSL,81282,1976,60570
n.tot_usda.a623_w.pct,SCHIEDUNG.SSL,239,0,0
n.tot_usda.a623_w.pct,SERBIA.SSL,45,0,0
na.ext_aquaregia_mg.kg,AFSIS1.SSL,0,0,0
