soil_property,description,export_name,model_name,spectra_type,subset,geo
efferv_usda.a479_class,"Effervescense, 1N HCl",efferv_usda.a479_class,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
fe.dith_usda.a66_w.pct,"Iron, Crystalline, Total Pedogenic Iron",log..fe.dith_usda.a66_w.pct,mir_cubist_kssl_na_v1.2,mir,kssl,na
fe.dith_usda.a66_w.pct,"Iron, Crystalline, Total Pedogenic Iron",log..fe.dith_usda.a66_w.pct,mir_cubist_ossl_na_v1.2,mir,ossl,na
fe.dith_usda.a66_w.pct,"Iron, Crystalline, Total Pedogenic Iron",log..fe.dith_usda.a66_w.pct,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
fe.dith_usda.a66_w.pct,"Iron, Crystalline, Total Pedogenic Iron",log..fe.dith_usda.a66_w.pct,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
fe.dith_usda.a66_w.pct,"Iron, Crystalline, Total Pedogenic Iron",log..fe.dith_usda.a66_w.pct,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
fe.ext_usda.a1064_mg.kg,"Iron, Extractable, Mehlich3",log..fe.ext_usda.a1064_mg.kg,mir_cubist_kssl_na_v1.2,mir,kssl,na
fe.ext_usda.a1064_mg.kg,"Iron, Extractable, Mehlich3",log..fe.ext_usda.a1064_mg.kg,mir_cubist_ossl_na_v1.2,mir,ossl,na
fe.ext_usda.a1064_mg.kg,"Iron, Extractable, Mehlich3",log..fe.ext_usda.a1064_mg.kg,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
fe.ext_usda.a1064_mg.kg,"Iron, Extractable, Mehlich3",log..fe.ext_usda.a1064_mg.kg,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
fe.ext_usda.a1064_mg.kg,"Iron, Extractable, Mehlich3",log..fe.ext_usda.a1064_mg.kg,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
fe.ox_usda.a60_w.pct,"Iron, Amorphous, Total Non-Crystalline Iron",log..fe.ox_usda.a60_w.pct,mir_cubist_kssl_na_v1.2,mir,kssl,na
fe.ox_usda.a60_w.pct,"Iron, Amorphous, Total Non-Crystalline Iron",log..fe.ox_usda.a60_w.pct,mir_cubist_ossl_na_v1.2,mir,ossl,na
fe.ox_usda.a60_w.pct,"Iron, Amorphous, Total Non-Crystalline Iron",log..fe.ox_usda.a60_w.pct,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
fe.ox_usda.a60_w.pct,"Iron, Amorphous, Total Non-Crystalline Iron",log..fe.ox_usda.a60_w.pct,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
fe.ox_usda.a60_w.pct,"Iron, Amorphous, Total Non-Crystalline Iron",log..fe.ox_usda.a60_w.pct,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
k.ext_usda.a1065_mg.kg,"Potassium, Extractable, Mehlich3",log..k.ext_usda.a1065_mg.kg,mir_cubist_kssl_na_v1.2,mir,kssl,na
k.ext_usda.a1065_mg.kg,"Potassium, Extractable, Mehlich3",log..k.ext_usda.a1065_mg.kg,mir_cubist_ossl_na_v1.2,mir,ossl,na
k.ext_usda.a1065_mg.kg,"Potassium, Extractable, Mehlich3",log..k.ext_usda.a1065_mg.kg,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
k.ext_usda.a1065_mg.kg,"Potassium, Extractable, Mehlich3",log..k.ext_usda.a1065_mg.kg,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
k.ext_usda.a1065_mg.kg,"Potassium, Extractable, Mehlich3",log..k.ext_usda.a1065_mg.kg,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
k.ext_usda.a725_cmolc.kg,"Potassium, Extractable, NH4OAc, 2M KCl displacement",log..k.ext_usda.a725_cmolc.kg,mir_cubist_kssl_na_v1.2,mir,kssl,na
k.ext_usda.a725_cmolc.kg,"Potassium, Extractable, NH4OAc, 2M KCl displacement",log..k.ext_usda.a725_cmolc.kg,mir_cubist_ossl_na_v1.2,mir,ossl,na
k.ext_usda.a725_cmolc.kg,"Potassium, Extractable, NH4OAc, 2M KCl displacement",log..k.ext_usda.a725_cmolc.kg,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
k.ext_usda.a725_cmolc.kg,"Potassium, Extractable, NH4OAc, 2M KCl displacement",log..k.ext_usda.a725_cmolc.kg,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
k.ext_usda.a725_cmolc.kg,"Potassium, Extractable, NH4OAc, 2M KCl displacement",log..k.ext_usda.a725_cmolc.kg,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
mg.ext_usda.a1066_mg.kg,"Magnesium, Extractable, Mehlich3",log..mg.ext_usda.a1066_mg.kg,mir_cubist_kssl_na_v1.2,mir,kssl,na
mg.ext_usda.a1066_mg.kg,"Magnesium, Extractable, Mehlich3",log..mg.ext_usda.a1066_mg.kg,mir_cubist_ossl_na_v1.2,mir,ossl,na
mg.ext_usda.a1066_mg.kg,"Magnesium, Extractable, Mehlich3",log..mg.ext_usda.a1066_mg.kg,nir.neospectra_cubist_ossl_na_v1.2,nir.neospectra,ossl,na
mg.ext_usda.a1066_mg.kg,"Magnesium, Extractable, Mehlich3",log..mg.ext_usda.a1066_mg.kg,visnir_cubist_kssl_na_v1.2,visnir,kssl,na
mg.ext_usda.a1066_mg.kg,"Magnesium, Extractable, Mehlich3",log..mg.ext_usda.a1066_mg.kg,visnir_cubist_ossl_na_v1.2,visnir,ossl,na
