soil_property,description,export_name,model_name,spectra_type,subset,geo,count
fe.dith_usda.a66_w.pct,"Iron, Crystalline, Total Pedogenic Iron",log..fe.dith_usda.a66_w.pct,nir.neospectra_mlr3..eml_ossl_na_v1.2,nir.neospectra,ossl,na,1773
fe.ext_usda.a1064_mg.kg,"Iron, Extractable, Mehlich3",log..fe.ext_usda.a1064_mg.kg,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,1534
fe.ext_usda.a1064_mg.kg,"Iron, Extractable, Mehlich3",log..fe.ext_usda.a1064_mg.kg,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,3773
fe.ox_usda.a60_w.pct,"Iron, Amorphous, Total Non-Crystalline Iron",log..fe.ox_usda.a60_w.pct,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,28259
fe.ox_usda.a60_w.pct,"Iron, Amorphous, Total Non-Crystalline Iron",log..fe.ox_usda.a60_w.pct,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,28259
fe.ox_usda.a60_w.pct,"Iron, Amorphous, Total Non-Crystalline Iron",log..fe.ox_usda.a60_w.pct,nir.neospectra_mlr3..eml_ossl_na_v1.2,nir.neospectra,ossl,na,1354
k.ext_usda.a1065_mg.kg,"Potassium, Extractable, Mehlich3",log..k.ext_usda.a1065_mg.kg,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,1534
k.ext_usda.a1065_mg.kg,"Potassium, Extractable, Mehlich3",log..k.ext_usda.a1065_mg.kg,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,3772
k.ext_usda.a725_cmolc.kg,"Potassium, Extractable, NH4OAc, 2M KCl displacement",log..k.ext_usda.a725_cmolc.kg,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,53230
k.ext_usda.a725_cmolc.kg,"Potassium, Extractable, NH4OAc, 2M KCl displacement",log..k.ext_usda.a725_cmolc.kg,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,57674
k.ext_usda.a725_cmolc.kg,"Potassium, Extractable, NH4OAc, 2M KCl displacement",log..k.ext_usda.a725_cmolc.kg,nir.neospectra_mlr3..eml_ossl_na_v1.2,nir.neospectra,ossl,na,1976
k.ext_usda.a725_cmolc.kg,"Potassium, Extractable, NH4OAc, 2M KCl displacement",log..k.ext_usda.a725_cmolc.kg,visnir_mlr3..eml_ossl_na_v1.2,visnir,ossl,na,44489
mg.ext_usda.a1066_mg.kg,"Magnesium, Extractable, Mehlich3",log..mg.ext_usda.a1066_mg.kg,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,1534
mg.ext_usda.a1066_mg.kg,"Magnesium, Extractable, Mehlich3",log..mg.ext_usda.a1066_mg.kg,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,3773
mg.ext_usda.a724_cmolc.kg,"Magnesium, Extractable, NH4OAc, 2M KCl displacement",log..mg.ext_usda.a724_cmolc.kg,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,53232
mg.ext_usda.a724_cmolc.kg,"Magnesium, Extractable, NH4OAc, 2M KCl displacement",log..mg.ext_usda.a724_cmolc.kg,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,57093
mg.ext_usda.a724_cmolc.kg,"Magnesium, Extractable, NH4OAc, 2M KCl displacement",log..mg.ext_usda.a724_cmolc.kg,nir.neospectra_mlr3..eml_ossl_na_v1.2,nir.neospectra,ossl,na,1976
mg.ext_usda.a724_cmolc.kg,"Magnesium, Extractable, NH4OAc, 2M KCl displacement",log..mg.ext_usda.a724_cmolc.kg,visnir_mlr3..eml_ossl_na_v1.2,visnir,ossl,na,3731
mn.ext_usda.a1067_mg.kg,"Manganese, Extractable, Mehlich3",log..mn.ext_usda.a1067_mg.kg,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,1534
mn.ext_usda.a1067_mg.kg,"Manganese, Extractable, Mehlich3",log..mn.ext_usda.a1067_mg.kg,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,3772
mn.ext_usda.a70_mg.kg,"Manganese, Extractable, KCl",log..mn.ext_usda.a70_mg.kg,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,14166
mn.ext_usda.a70_mg.kg,"Manganese, Extractable, KCl",log..mn.ext_usda.a70_mg.kg,mir_mlr3..eml_ossl_na_v1.2,mir,ossl,na,14166
mn.ext_usda.a70_mg.kg,"Manganese, Extractable, KCl",log..mn.ext_usda.a70_mg.kg,nir.neospectra_mlr3..eml_ossl_na_v1.2,nir.neospectra,ossl,na,716
n.tot_usda.a623_w.pct,"Nitrogen, Total NCS",log..n.tot_usda.a623_w.pct,mir_mlr3..eml_kssl_na_v1.2,mir,kssl,na,76594
